Fecha,Monto,Descripcion,Categoria,Original
21/01/26,8691.15,299306 * MERPAGO*ALWAYSRENTACA C.61/86,ALQUILER,21 Enero 26 299306 * MERPAGO*ALWAYSRENTACA C.61/86 8691,15
21/01/26,87799.54,94185@ * MERPAGO*ALWAYSRENTACA c.61/83,ALQUILER,21 Enero 26 94185@ * MERPAGO*ALWAYSRENTACA c.61/83 87799,54
07/08/24,11598.51,@ 869790 * AEROLINEAS.COM.AR c.18/18,AEROLINEAS,@7 Agosto 24 869790 * AEROLINEAS.COM.AR c.18/18 11598,51
12/08/25,18248.33,316068 * MERPAGO*ALWAYSRENTACA C.66/86,ALQUILER,12 Agosto 25 316068 * MERPAGO*ALWAYSRENTACA C.66/86 18248,33
12/08/25,18977.79,653394 * MERPAGO*ALWAYSRENTACA C.06/86,ALQUILER,12 Agosto 25 653394 * MERPAGO*ALWAYSRENTACA C.06/86 18977,79
11/09/25,14277.25,962932 * MERPAGO*ALWAYSRENTACA C.05/86,ALQUILER,11 Septiembre 25 962932 * MERPAGO*ALWAYSRENTACA C.05/86 14277,25
12/09/25,14277.25,840141 * MERPAGO*ALWAYSRENTACA C.05/86,ALQUILER,12 Septiembre 25 840141 * MERPAGO*ALWAYSRENTACA C.05/86 14277,25
11/11/25,1756.66,001764 * MASTER CLEAN C.63/83,LIMPIEZA,11 Noviembre 25 001764 * MASTER CLEAN C.63/83 1756,66
09/12/25,4602.21,@ 862704 * MASTER CLEAN C.62/83,LIMPIEZA,@9 Diciembre 25 862704 * MASTER CLEAN C.62/83 4602,21
19/08/25,78333.33,004977 * VIUMI *RENTEC C.06/86,SERVICIOS,19 Agosto 25 004977 * VIUMI *RENTEC C.06/86 78333,33
