Plant Name,Alias,City,PV Panels Power,Daily Generation,Total,Generacion_Mensual_kWh,Mes,Año
cendis,cendis,Salta,81900.0,189.9,44299.4,4367.7,1,2026
Robles,Robles,Salta,100620.0,125.2,23448.3,2879.6,1,2026
Cartoon Inversor 1,Cartoon,Salta,114600.0,124.4,46949.3,2861.2000000000003,1,2026
viñas en flor,viñas en flor,Cafayate,99450.0,97.6,22989.0,2244.8,1,2026
Viñas en Flor (Bomba),,Cafayate,38000.0,78.4,2191.5,1803.2,1,2026
La Aurelia,La Aurelia,El Carril,55500.0,69.8,53465.0,1605.4,1,2026
Diagnostico Salta,Diagnostico Salta,Salta,33345.0,62.8,30734.6,1444.4,1,2026
Cartoon inversor 2,Cartoon inversor 2,Salta,39780.0,62.1,15977.9,1428.3,1,2026
puntocorp,puntocorp,Capital,33300.0,45.4,17224.9,1044.2,1,2026
Farm. San Francisco,,Salta,27750.0,43.5,44661.3,1000.5,1,2026
Animana,animana,Cafayate,28305.0,41.4,38096.7,952.2,1,2026
Campo quijano,Campo quijano,Campo Quijano,31590.0,38.5,26817.5,885.5,1,2026
Imac Lerma,IMAC Ros. de Lerma,Rosario de Lerma,23000.0,21.8,26794.4,501.4,1,2026
tambo martorel,tambo martorel,,16379.0,19.8,8683.5,455.4,1,2026
valle del colectivo,valle del colectivo,Tolombón,12210.0,19.1,22860.5,439.3,1,2026
Etchart,Etchart,Cafayate,9360.0,18.6,8006.0,427.8,1,2026
Imac Frontera,IMAC,AFE,7700.0,14.0,15655.6,322.0,1,2026
Línea C,Línea C,Salta,11700.0,13.7,3412.8,315.1,1,2026
La Carolina,La Carolina,Cafayate,31590.0,8.8,35890.6,202.4,1,2026
lisandro avila,,,2340.0,5.5,778.8,126.5,1,2026
LUISCC,,,3510.0,4.9,473.9,112.7,1,2026
tambo ditella,,,18000.0,4.4,2556.0,101.2,1,2026
Elizaldejoaquin,Elizaldejoaquin,Salta,3330.0,3.0,3001.9,69.0,1,2026
Carlos Nallim,,,8190.0,1.7,314.5,39.1,1,2026
Guernica,,Guaminí,5550.0,1.5,2605.7,34.5,1,2026
fabrica forja,fabrica forja,,4650.0,1.4,1480.8,32.2,1,2026
Ivan Bv,ivanbv,Salta,4400.0,1.2,7129.2,27.6,1,2026
Jparis,,,2340.0,0.6,6.7,13.8,1,2026
Arenosa,Arenosa,Cafayate,28305.0,0.6,45031.0,13.8,1,2026
Amsa,,,99450.0,0.2,8698.6,4.6000000000000005,1,2026
distribuidora maestro,distribuidora maestro,Salta,10530.0,0.0,6507.7,808.8,1,2026
viñas en flor bomba,bomba 150hp,Cafayate,35000000.0,0.0,0.0,0.0,1,2026
Hotel La Merced del Alto,Paneles HLMA,Cachi,7770.0,0.0,5930.3,0.0,1,2026
Claudia tolaba,Claudia tolaba,Rosario de Lerma,62000.0,0.0,11007.5,1931.65,1,2026
UPS Heladera,UPS Heladera,Salta,5000.0,0.0,0.0,0.0,1,2026
UPS Computadoras,,Salta,5000.0,0.0,0.2,0.0,1,2026
martin lecuona,martin lecuona,El Molino,18720.0,0.0,8377.6,0.0,1,2026
Agustin Lanus,ALanus,Animaná,16650.0,0.0,10420.6,0.0,1,2026
